PL_surface_temp: 224.119084
PL_output_pressure: 1032.422165
PL_chamber_pressure: 1047.721528
PL_top_condenser_temp: 18.442
PL_bottom_condenser_temp: 17.918
PL_wall1: 63.201
PL_wall2: 61.884
PL_bottom1: 512.4471
PL_bottom2: 1384.3
PL_bottom3: 508.9927
PL_bottom4: 517.3360
PL_flow_meter: 12.74
PL_process: TRUE
PL_preprocess: FALSE
MW_reverse_coupler: 0.0
PL_postprocess: FALSE
PL_chamber_pump: TRUE
PL_purge_pump: FALSE
MT_crucible_temperature: 0.0
MT_top: 0.0
MT_bottom: 0.0
MW_water_state: TRUE
MW_flow_state: TRUE
MW_RF: TRUE
MW_status: TRUE
MW_power: 3000.0
MW_reverse: 42.5
MW_period: 0.0
MW_width: 0.0
MW_freq: 2450.0
MW_water_temp: 21.3
MW_flow_rate: 3.8
PL_Probe1: 0.0
PL_Probe2: 0.0
